"GeneName","log2FoldChange","PValue","AdjustedPValue"
"OR7A5",-2.62483893024637,9.67548419661804e-06,0.303699471656594
"SCML2P2",0.678342008464674,1.7844206448873e-05,0.303699471656594
"FAT2",3.86699507549245,4.16037583892727e-05,0.398178152215504
"SERPINE1",-1.59054592745591,5.61439472932365e-05,0.398178152215504
"PRR35",3.98144443735759,7.41110594037193e-05,0.398178152215504
"RN7SL79P",1.42559153798369,6.15610324954454e-05,0.398178152215504
"UBE2CP2",1.79460587944795,8.18839291844216e-05,0.398178152215504
"SLC9A3-AS1",0.938556084666948,9.79748694585916e-05,0.416870822687625
"GAPDHP1",-1.32114169093722,0.000128321653018746,0.485326749678346
"MSLN",-1.35656081781054,0.000329810671633621,0.840696033652502
"C1QL2",0.581895654445223,0.000319137021143236,0.840696033652502
"SLC25A41",0.880883797413102,0.000343467365151464,0.840696033652502
"ENSG00000228150",1.2125519353044,0.000345772333826935,0.840696033652502
"ENSG00000249320",2.90555181403535,0.000323260934904305,0.840696033652502
"ENSG00000233052",2.61926093871536,0.000371122308326493,0.842175483541699
"GREB1L",0.585080642571116,0.000412280318034741,0.877100609099033
"ENSG00000224201",4.3229551157999,0.000485572138611393,0.972258236834895
"TSPAN6",0.0367973744700809,0.83881732856305,0.999380980658289
"TNMD",0.260395582955865,0.776369131251101,0.999380980658289
"DPM1",-0.163780333780608,0.0964973544155853,0.999380980658289
"SCYL3",0.0358710270508011,0.673234686829128,0.999380980658289
"FIRRM",0.0541762842664131,0.739522617996597,0.999380980658289
"FGR",-0.101670454572078,0.726947698049692,0.999380980658289
"CFH",0.170504882062354,0.444118414358386,0.999380980658289
"FUCA2",-0.133012556311458,0.262897030264458,0.999380980658289
"GCLC",-0.0662137593851347,0.57470802992491,0.999380980658289
"NFYA",0.107994168415522,0.237144313437838,0.999380980658289
"STPG1",-0.0105002457779332,0.918110721467572,0.999380980658289
"NIPAL3",-0.0538710042396226,0.662752979509676,0.999380980658289
"LAS1L",0.144523974767894,0.270049369377909,0.999380980658289
"ENPP4",-0.141214120402672,0.366244927059387,0.999380980658289
"SEMA3F",-0.0690059021359169,0.826408314240604,0.999380980658289
"CFTR",0.456639251344787,0.063056882413265,0.999380980658289
"ANKIB1",-0.0183178072689435,0.85888486119017,0.999380980658289
"CYP51A1",-0.0814424602952958,0.547009402675823,0.999380980658289
"KRIT1",0.0155347053247896,0.865294380183569,0.999380980658289
"RAD52",0.299400954135742,0.107219302123229,0.999380980658289
"MYH16",0.691032974464541,0.326503985264802,0.999380980658289
"BAD",0.0176002069286618,0.871906249265765,0.999380980658289
"LAP3",-0.0279767304139374,0.828156147720376,0.999380980658289
"HS3ST1",0.145292183201013,0.656126208534592,0.999380980658289
"AOC1",0.883746558230985,0.733247756588613,0.999380980658289
"WNT16",-0.171701179238054,0.735641560726686,0.999380980658289
"HECW1",0.203273517650509,0.644138202619905,0.999380980658289
"MAD1L1",0.0904838755772678,0.393282078549724,0.999380980658289
"LASP1",0.100699283590736,0.537103400242844,0.999380980658289
"SNX11",-0.00196789401095464,0.980431312777007,0.999380980658289
"TMEM176A",0.0638531753757465,0.785564853497746,0.999380980658289
"M6PR",-0.058172016312212,0.484980647021079,0.999380980658289
"KLHL13",-0.132406857351396,0.337186324506108,0.999380980658289
"CYP26B1",-0.0550821983531517,0.885617844515217,0.999380980658289
"ICA1",0.12593229660556,0.573104887850175,0.999380980658289
"DBNDD1",-0.0173656477004586,0.959018459565798,0.999380980658289
"ALS2",0.141858048104705,0.0831443579809072,0.999380980658289
"CASP10",0.066896903733922,0.669751951392316,0.999380980658289
"CFLAR",0.0938567344444238,0.463154819976468,0.999380980658289
"TFPI",-0.077881455386838,0.741866405534497,0.999380980658289
"NDUFAF7",0.0946976319604469,0.342888977844009,0.999380980658289
"RBM5",0.137268840791729,0.313013389431766,0.999380980658289
"MTMR7",0.0186911957669305,0.863502185474916,0.999380980658289
"SLC7A2",-0.539231976361196,0.0865248798017872,0.999380980658289
"ARF5",0.0358261724422391,0.806105229321471,0.999380980658289
"SARM1",0.179931312545132,0.110836881509335,0.999380980658289
"POLDIP2",0.00349419748356448,0.97167986755632,0.999380980658289
"PLXND1",0.0568574259103869,0.688055248730398,0.999380980658289
"AK2",-0.00952819852831241,0.923381680514168,0.999380980658289
"CD38",0.107839556013366,0.668568596628535,0.999380980658289
"FKBP4",-0.0812295649862983,0.587564526288043,0.999380980658289
"KDM1A",0.00430693761401677,0.958656325860663,0.999380980658289
"RBM6",0.120002788102171,0.423584630139116,0.999380980658289
"CAMKK1",0.226759548859674,0.628901130726909,0.999380980658289
"RECQL",-0.0983005153697617,0.323366843809606,0.999380980658289
"VPS50",0.0234536457307486,0.789768232165607,0.999380980658289
"HSPB6",0.126986965053623,0.575309207255637,0.999380980658289
"ARHGAP33",0.34940932276019,0.020920669032489,0.999380980658289
"NDUFAB1",-0.0538104376605698,0.773868172908591,0.999380980658289
"PDK4",-0.52150228483381,0.00269856557777218,0.999380980658289
"SLC22A16",0.267495738763521,0.515929631867486,0.999380980658289
"ZMYND10",0.225682810667511,0.25323574539536,0.999380980658289
"ARX",0.157784809028172,0.608041691493649,0.999380980658289
"SLC25A13",0.00474196094842356,0.981787809207022,0.999380980658289
"ST7",0.0890345516840986,0.526124152230575,0.999380980658289
"CDC27",-0.105385486288417,0.307779242099479,0.999380980658289
"SLC4A1",-0.436456810004233,0.522442994693778,0.999380980658289
"CALCR",-0.298542258824999,0.697982137238732,0.999380980658289
"HCCS",-0.095193955695016,0.659861355862949,0.999380980658289
"DVL2",0.0716316764250265,0.537802626932585,0.999380980658289
"UPF1",-0.0354542753693312,0.636665343204753,0.999380980658289
